customer_id,gender,age,total_orders,price,payment_method,shopping_mall,invoice_date,Shopping Time,,,
CUST00051,Male,26,50,2733.99,Cash,Ambience Mall,30-12-2023,Night,,,
CUST00052,Male,31,29,4610.28,Cash,Select Citywalk,06-03-2023,Evening,,,
CUST00053,Male,31,17,3865.41,UPI,Select Citywalk,29-05-2023,Morning,,,
CUST00054,Male,25,3,2253.32,Debit Card,Ambience Mall,09-06-2023,Night,,,
CUST00055,Female,58,16,3548.38,Credit Card,Phoenix Marketcity,25-12-2023,Night,,,
CUST00056,Female,42,27,2250.01,Debit Card,Select Citywalk,24-03-2023,Morning,,,
CUST00057,Female,49,40,914.98,UPI,Inorbit Mall,07-05-2023,Night,,,
CUST00058,Female,44,22,776.25,Debit Card,City Centre Mall,03-12-2023,Morning,,,
CUST00059,Female,18,25,2105.5,UPI,Lulu Mall,13-09-2023,Afternoon,,,
CUST00060,Female,65,15,3653.82,Cash,City Centre Mall,26-07-2023,Evening,,,
CUST00061,Male,27,7,80.76,UPI,VR Mall,01-07-2023,Evening,,,
CUST00062,Male,35,31,4281.32,Cash,City Centre Mall,14-02-2023,Evening,,,
CUST00063,Female,42,34,3605.84,Credit Card,Inorbit Mall,22-07-2023,Morning,,,
CUST00064,Male,41,43,4801.48,Wallet,Elante Mall,15-04-2023,Morning,,,
CUST00065,Female,29,32,4301.67,Cash,City Centre Mall,20-04-2023,Evening,,,
CUST00066,Female,59,1,704.81,Credit Card,Phoenix Marketcity,19-06-2023,Morning,,,
CUST00067,Male,46,16,1885.86,Debit Card,Elante Mall,21-12-2023,Evening,,,
CUST00068,Male,54,44,334.02,Debit Card,Lulu Mall,11-08-2023,Evening,,,
CUST00069,Female,62,38,490.3,Credit Card,Inorbit Mall,14-02-2023,Night,,,
CUST00070,Female,47,43,4513.14,Wallet,VR Mall,13-07-2023,Morning,,,
CUST00071,Female,29,46,688.16,UPI,Ambience Mall,20-10-2023,Morning,,,
CUST00072,Male,43,42,2412.33,Debit Card,Elante Mall,28-09-2023,Afternoon,,,
CUST00073,Male,23,17,447.82,Cash,Select Citywalk,18-12-2023,Night,,,
CUST00074,Female,63,36,1187.52,Debit Card,DLF Mall of India,03-07-2023,Evening,,,
CUST00075,Male,21,47,1676.63,Debit Card,VR Mall,13-04-2023,Morning,,,
CUST00076,Male,25,12,4064.62,Debit Card,Orion Mall,14-07-2023,Evening,,,
CUST00077,Male,37,15,4796.35,UPI,Lulu Mall,12-05-2023,Afternoon,,,
CUST00078,Female,39,9,4877.36,Credit Card,Inorbit Mall,29-08-2023,Afternoon,,,
CUST00079,Female,28,28,2208.97,Wallet,Lulu Mall,16-11-2023,Evening,,,
CUST00080,Female,56,15,2003.85,Cash,Lulu Mall,10-01-2023,Morning,,,
CUST00081,Female,37,36,1153.11,Cash,Lulu Mall,22-06-2023,Night,,,
CUST00082,Male,46,39,1004.26,Wallet,Ambience Mall,27-07-2023,Evening,,,
CUST00083,Female,47,40,4167.97,Debit Card,VR Mall,11-12-2023,Morning,,,
CUST00084,Male,35,34,2248.56,Credit Card,VR Mall,25-09-2023,Morning,,,
CUST00085,Female,43,35,202.07,Cash,Select Citywalk,24-04-2023,Morning,,,
CUST00086,Male,48,36,3987.13,Cash,Select Citywalk,24-12-2023,Morning,,,
CUST00087,Male,50,36,1542.29,Credit Card,Lulu Mall,03-07-2023,Evening,,,
CUST00088,Male,42,28,4513.3,UPI,DLF Mall of India,05-06-2023,Evening,,,
CUST00089,Male,53,2,4233.88,Debit Card,Select Citywalk,13-01-2023,Evening,,,
CUST00090,Male,50,11,333.5,UPI,Inorbit Mall,27-11-2023,Night,,,
CUST00091,Female,48,18,925.69,UPI,Elante Mall,06-06-2023,Evening,,,
CUST00092,Female,18,24,2809.65,Debit Card,Ambience Mall,14-03-2023,Evening,,,
CUST00093,Female,31,21,4325.1,Wallet,City Centre Mall,18-06-2023,Morning,,,
CUST00094,Male,19,25,3045.38,Debit Card,Orion Mall,13-12-2023,Morning,,,
CUST00095,Female,44,50,1783.03,Credit Card,City Centre Mall,09-03-2023,Night,,,
CUST00096,Female,53,49,2790.66,UPI,Inorbit Mall,10-08-2023,Night,,,
CUST00097,Female,45,20,2472.79,Debit Card,VR Mall,23-12-2023,Evening,,,
CUST00098,Female,28,10,2740.69,Credit Card,Select Citywalk,05-05-2023,Afternoon,,,
CUST00099,Female,36,34,4096.2,Cash,DLF Mall of India,07-11-2023,Night,,,
CUST00100,Male,42,22,4091.41,Credit Card,VR Mall,14-02-2023,Morning,,,
CUST00101,Female,65,18,2876.56,Wallet,Ambience Mall,11-11-2023,Afternoon,,,
CUST00102,Female,36,44,1791.59,Cash,VR Mall,07-09-2023,Evening,,,
CUST00103,Female,36,11,2701.49,Credit Card,Ambience Mall,07-08-2023,Night,,,
CUST00104,Male,47,41,1030.66,Wallet,City Centre Mall,19-06-2023,Evening,,,
CUST00105,Female,50,13,1961.85,Credit Card,Select Citywalk,05-11-2023,Night,,,
CUST00106,Female,63,44,3053.82,Wallet,Elante Mall,14-08-2023,Evening,,,
CUST00107,Male,33,39,3575.14,UPI,Lulu Mall,12-07-2023,Evening,,,
CUST00108,Female,57,7,810.82,Cash,City Centre Mall,20-12-2023,Evening,,,
CUST00109,Female,60,25,540.32,Wallet,City Centre Mall,21-07-2023,Evening,,,
CUST00110,Female,18,21,3362.95,Debit Card,Orion Mall,01-06-2023,Morning,,,
CUST00111,Male,19,35,2732.23,Cash,Orion Mall,24-03-2023,Evening,,,
CUST00112,Female,50,28,4204.83,Credit Card,Orion Mall,26-10-2023,Night,,,
CUST00113,Male,40,49,676.1,Debit Card,Elante Mall,19-04-2023,Afternoon,,,
CUST00114,Female,38,50,1410.94,Debit Card,Ambience Mall,04-08-2023,Morning,,,
CUST00115,Male,36,42,4232.05,Wallet,DLF Mall of India,20-12-2023,Afternoon,,,
CUST00116,Female,30,14,2834.73,Cash,DLF Mall of India,07-01-2023,Morning,,,
CUST00117,Male,42,13,2175.45,Wallet,VR Mall,08-09-2023,Evening,,,
CUST00118,Female,65,36,2396.77,Debit Card,VR Mall,21-02-2023,Morning,,,
CUST00119,Female,30,29,2179,Credit Card,VR Mall,07-11-2023,Morning,,,
CUST00120,Male,29,31,489.85,Wallet,DLF Mall of India,03-12-2023,Afternoon,,,
CUST00121,Female,64,31,2476.51,Cash,DLF Mall of India,28-06-2023,Morning,,,
CUST00122,Male,49,33,1627.75,Wallet,Elante Mall,06-09-2023,Evening,,,
CUST00123,Male,28,42,3964.67,UPI,City Centre Mall,25-04-2023,Morning,,,
CUST00124,Female,26,30,4206.14,Wallet,Orion Mall,06-03-2023,Morning,,,
CUST00125,Male,57,11,4310.4,Cash,VR Mall,21-06-2023,Evening,,,
CUST00126,Female,40,8,837.54,Credit Card,Lulu Mall,18-02-2023,Afternoon,,,
CUST00127,Male,53,24,1178.06,Cash,Elante Mall,31-07-2023,Afternoon,,,
CUST00128,Female,56,26,1825.71,Wallet,Lulu Mall,29-06-2023,Morning,,,
CUST00129,Male,35,33,3746.43,Credit Card,Ambience Mall,11-03-2023,Afternoon,,,
CUST00130,Male,27,12,4226.5,Credit Card,Elante Mall,08-11-2023,Afternoon,,,
CUST00131,Female,64,20,4598.35,Credit Card,Inorbit Mall,02-06-2023,Night,,,
CUST00132,Male,61,14,1519.32,Wallet,Lulu Mall,13-04-2023,Night,,,
CUST00133,Female,23,25,211.58,Debit Card,Phoenix Marketcity,20-08-2023,Evening,,,
CUST00134,Female,25,10,1062.35,Cash,Elante Mall,17-07-2023,Morning,,,
CUST00135,Male,43,37,3586.97,Debit Card,Lulu Mall,11-12-2023,Afternoon,,,
CUST00136,Male,24,48,264.43,Wallet,Orion Mall,15-09-2023,Evening,,,
CUST00137,Male,37,35,3423.37,Credit Card,DLF Mall of India,25-08-2023,Morning,,,
CUST00138,Male,26,15,2215.73,Debit Card,Elante Mall,08-10-2023,Night,,,
CUST00139,Male,19,36,3350.8,Credit Card,City Centre Mall,16-07-2023,Morning,,,
CUST00140,Male,41,24,1073.65,Cash,Elante Mall,19-08-2023,Afternoon,,,
CUST00141,Male,23,48,4817.23,Cash,DLF Mall of India,19-05-2023,Morning,,,
CUST00142,Female,24,12,1427.73,UPI,Select Citywalk,21-04-2023,Morning,,,
CUST00143,Female,45,9,1116.87,Cash,Inorbit Mall,27-09-2023,Evening,,,
CUST00144,Male,29,12,3067.57,Cash,Orion Mall,11-03-2023,Evening,,,
CUST00145,Female,24,48,2488.92,Wallet,VR Mall,23-04-2023,Afternoon,,,
CUST00146,Male,18,14,1864.38,Wallet,Select Citywalk,08-03-2023,Night,,,
CUST00147,Male,20,4,1079.38,Wallet,DLF Mall of India,15-02-2023,Morning,,,
CUST00148,Male,64,28,3298.5,Wallet,Orion Mall,28-10-2023,Night,,,
CUST00149,Male,25,26,980.98,Wallet,Elante Mall,26-08-2023,Evening,,,
CUST00150,Female,32,49,4502.19,Debit Card,Orion Mall,30-07-2023,Morning,,,
CUST00151,Female,28,12,4336.26,Credit Card,Inorbit Mall,26-03-2023,Morning,,,
CUST00152,Male,51,24,4003.91,Credit Card,DLF Mall of India,18-03-2023,Morning,,,
CUST00153,Male,65,31,653.66,Wallet,VR Mall,08-09-2023,Evening,,,
CUST00154,Male,51,17,2092.51,Wallet,Phoenix Marketcity,04-08-2023,Evening,,,
CUST00155,Male,29,1,3836.21,Debit Card,Inorbit Mall,28-12-2023,Night,,,
CUST00156,Female,53,17,3818.61,Credit Card,Elante Mall,19-08-2023,Evening,,,
CUST00157,Male,50,2,1408.72,Debit Card,Elante Mall,01-04-2023,Afternoon,,,
CUST00158,Male,49,1,1335.4,UPI,Lulu Mall,05-04-2023,Night,,,
CUST00159,Male,23,2,1839.61,Cash,Ambience Mall,23-06-2023,Afternoon,,,
CUST00160,Female,37,7,2487.27,Debit Card,DLF Mall of India,14-11-2023,Night,,,
CUST00161,Male,59,14,313.34,Debit Card,Lulu Mall,03-03-2023,Afternoon,,,
CUST00162,Female,31,47,3928.61,Debit Card,Orion Mall,24-07-2023,Morning,,,
CUST00163,Male,31,18,2578.28,Wallet,Orion Mall,12-05-2023,Evening,,,
CUST00164,Female,41,36,4679.35,Debit Card,Orion Mall,16-10-2023,Morning,,,
CUST00165,Female,61,33,4143.74,UPI,Elante Mall,22-01-2023,Afternoon,,,
CUST00166,Male,64,38,132.51,Wallet,Lulu Mall,19-04-2023,Evening,,,
CUST00167,Male,62,1,3310.14,UPI,Orion Mall,10-01-2023,Evening,,,
CUST00168,Male,59,20,1009.15,Credit Card,Inorbit Mall,21-10-2023,Night,,,
CUST00169,Female,53,31,3416.85,Cash,Lulu Mall,31-08-2023,Afternoon,,,
CUST00170,Male,36,44,2168.32,Cash,Lulu Mall,26-04-2023,Night,,,
CUST00171,Male,60,6,3202.48,UPI,Phoenix Marketcity,21-01-2023,Afternoon,,,
CUST00172,Male,25,43,4595.23,Credit Card,Elante Mall,10-07-2023,Afternoon,,,
CUST00173,Male,48,12,4017.93,Debit Card,DLF Mall of India,23-04-2023,Afternoon,,,
CUST00174,Female,47,28,1879.24,UPI,City Centre Mall,22-04-2023,Night,,,
CUST00175,Female,51,31,1768.96,UPI,Lulu Mall,09-01-2023,Evening,,,
CUST00176,Female,57,33,275.19,Credit Card,DLF Mall of India,15-05-2023,Night,,,
CUST00177,Male,27,28,3443.68,Debit Card,DLF Mall of India,02-09-2023,Night,,,
CUST00178,Female,56,43,1616.93,Debit Card,VR Mall,19-05-2023,Evening,,,
CUST00179,Male,57,16,744.51,Credit Card,Select Citywalk,09-09-2023,Afternoon,,,
CUST00180,Female,55,6,2826.69,Wallet,Elante Mall,17-07-2023,Night,,,
CUST00181,Male,58,23,1802.88,Debit Card,VR Mall,17-02-2023,Morning,,,
CUST00182,Male,42,28,1781.75,Cash,City Centre Mall,08-11-2023,Morning,,,
CUST00183,Male,61,5,1914.01,Wallet,Elante Mall,03-09-2023,Morning,,,
CUST00184,Male,53,49,3786.04,UPI,Orion Mall,10-03-2023,Morning,,,
CUST00185,Female,49,39,2871.92,Cash,Select Citywalk,30-11-2023,Afternoon,,,
CUST00186,Female,29,20,1250.51,Credit Card,Lulu Mall,30-01-2023,Night,,,
CUST00187,Male,23,50,2468.25,Credit Card,Ambience Mall,10-05-2023,Night,,,
CUST00188,Female,63,4,3483.49,Cash,VR Mall,11-07-2023,Night,,,
CUST00189,Male,37,36,2669.96,Debit Card,Orion Mall,23-03-2023,Night,,,
CUST00190,Male,59,42,3883.48,UPI,VR Mall,17-04-2023,Evening,,,
CUST00191,Female,59,8,3876.9,Cash,Ambience Mall,03-09-2023,Afternoon,,,
CUST00192,Female,47,45,2162.06,Debit Card,Orion Mall,19-06-2023,Afternoon,,,
CUST00193,Female,43,23,3940.13,Debit Card,Inorbit Mall,10-05-2023,Morning,,,
CUST00194,Female,39,7,4253.72,Cash,VR Mall,17-01-2023,Night,,,
CUST00195,Male,31,50,583.9,Wallet,Phoenix Marketcity,12-10-2023,Afternoon,,,
CUST00196,Male,48,19,2043.85,Debit Card,Lulu Mall,10-10-2023,Morning,,,
CUST00197,Male,18,25,2987.75,Debit Card,Lulu Mall,11-09-2023,Afternoon,,,
CUST00198,Female,57,30,3845.34,Debit Card,DLF Mall of India,16-10-2023,Evening,,,
CUST00199,Female,41,37,2975.47,UPI,Orion Mall,28-05-2023,Afternoon,,,
CUST00200,Male,25,33,509.18,Credit Card,DLF Mall of India,09-12-2023,Night,,,
CUST00201,Male,56,21,745.63,UPI,VR Mall,27-10-2023,Evening,,,
CUST00202,Female,27,30,2791.62,UPI,Inorbit Mall,08-06-2023,Afternoon,,,
CUST00203,Male,18,30,4432.93,Credit Card,Ambience Mall,05-11-2023,Morning,,,
CUST00204,Male,43,19,2185.24,Cash,City Centre Mall,15-01-2023,Evening,,,
CUST00205,Female,29,19,2753.04,Debit Card,Select Citywalk,16-01-2023,Morning,,,
CUST00206,Male,45,29,3023.17,Cash,Orion Mall,15-08-2023,Evening,,,
CUST00207,Male,47,2,2908.24,UPI,VR Mall,02-03-2023,Evening,,,
CUST00208,Male,27,42,380.61,UPI,Lulu Mall,21-02-2023,Morning,,,
CUST00209,Female,48,50,1327.06,Wallet,Phoenix Marketcity,20-03-2023,Afternoon,,,
CUST00210,Female,43,20,4910.21,UPI,Orion Mall,04-12-2023,Morning,,,
CUST00211,Female,38,35,459.82,Debit Card,VR Mall,17-05-2023,Night,,,
CUST00212,Male,57,19,1418.67,Wallet,DLF Mall of India,19-02-2023,Morning,,,
CUST00213,Female,52,6,4489.46,UPI,Lulu Mall,29-12-2023,Morning,,,
CUST00214,Male,33,44,4566.22,Cash,Lulu Mall,14-10-2023,Night,,,
CUST00215,Male,45,50,67.75,Wallet,Elante Mall,27-05-2023,Afternoon,,,
CUST00216,Female,56,28,1006.01,Debit Card,Lulu Mall,25-09-2023,Morning,,,
CUST00217,Male,30,48,1740.06,Credit Card,Phoenix Marketcity,12-08-2023,Night,,,
CUST00218,Male,38,15,1841.78,Cash,Ambience Mall,04-08-2023,Morning,,,
CUST00219,Female,35,17,2428.93,Wallet,Inorbit Mall,06-11-2023,Night,,,
CUST00220,Male,43,22,1973.37,Credit Card,Orion Mall,15-10-2023,Evening,,,
CUST00221,Male,18,46,2672.31,Wallet,Elante Mall,02-02-2023,Evening,,,
CUST00222,Female,31,1,3521.85,Cash,Select Citywalk,24-01-2023,Afternoon,,,
CUST00223,Male,57,3,435.52,UPI,Phoenix Marketcity,21-01-2023,Night,,,
CUST00224,Male,40,27,1225.46,Wallet,City Centre Mall,10-10-2023,Afternoon,,,
CUST00225,Female,53,15,4220.25,Debit Card,Phoenix Marketcity,02-08-2023,Morning,,,
CUST00226,Female,48,38,3465.8,Wallet,Elante Mall,30-11-2023,Evening,,,
CUST00227,Male,58,32,68.75,UPI,City Centre Mall,12-07-2023,Afternoon,,,
CUST00228,Male,37,2,1025.47,Wallet,City Centre Mall,29-04-2023,Afternoon,,,
CUST00229,Female,64,8,4552.73,Wallet,DLF Mall of India,15-02-2023,Evening,,,
CUST00230,Male,51,18,444.68,Credit Card,Select Citywalk,15-11-2023,Afternoon,,,
CUST00231,Female,46,16,731.79,Debit Card,Ambience Mall,09-03-2023,Evening,,,
CUST00232,Female,30,25,4561.02,UPI,City Centre Mall,14-06-2023,Morning,,,
CUST00233,Female,51,33,3331.23,UPI,Phoenix Marketcity,02-06-2023,Evening,,,
CUST00234,Male,53,15,4175.32,UPI,City Centre Mall,11-12-2023,Night,,,
CUST00235,Female,25,7,237.05,Wallet,Inorbit Mall,29-06-2023,Evening,,,
CUST00236,Female,60,10,3915.6,UPI,Orion Mall,26-07-2023,Night,,,
CUST00237,Female,48,29,1478.85,Cash,VR Mall,28-10-2023,Morning,,,
CUST00238,Male,35,25,780.96,Credit Card,Lulu Mall,19-08-2023,Afternoon,,,
CUST00239,Male,40,24,2214.89,Cash,DLF Mall of India,17-05-2023,Evening,,,
CUST00240,Male,50,49,989.94,Cash,Orion Mall,05-01-2023,Afternoon,,,
CUST00241,Female,61,16,3214.09,Debit Card,Lulu Mall,05-06-2023,Afternoon,,,
CUST00242,Female,29,45,4547.83,Credit Card,Lulu Mall,11-04-2023,Evening,,,
CUST00243,Male,42,38,1936.44,Credit Card,Inorbit Mall,30-12-2023,Afternoon,,,
CUST00244,Female,61,26,4654.77,UPI,VR Mall,02-10-2023,Night,,,
CUST00245,Female,43,43,343.56,Debit Card,DLF Mall of India,11-04-2023,Afternoon,,,
CUST00246,Female,41,32,624.91,Debit Card,DLF Mall of India,27-03-2023,Afternoon,,,
CUST00247,Male,47,49,4126.74,Credit Card,VR Mall,22-12-2023,Night,,,
CUST00248,Female,64,23,4893.07,Credit Card,Orion Mall,04-03-2023,Afternoon,,,
CUST00249,Male,57,12,2970.32,UPI,Ambience Mall,03-05-2023,Afternoon,,,
CUST00250,Female,28,18,4416.76,Wallet,Lulu Mall,18-07-2023,Afternoon,,,
CUST00251,Female,40,47,4281.03,Cash,VR Mall,11-10-2023,Night,,,
CUST00252,Female,31,28,4584.09,Debit Card,Phoenix Marketcity,13-05-2023,Morning,,,
CUST00253,Male,43,8,2584.23,Debit Card,City Centre Mall,09-08-2023,Afternoon,,,
CUST00254,Female,49,22,1252.96,Cash,Lulu Mall,15-01-2023,Afternoon,,,
CUST00255,Male,61,18,3579.87,UPI,Lulu Mall,12-03-2023,Afternoon,,,
CUST00256,Male,53,34,970.95,Cash,Ambience Mall,29-05-2023,Night,,,
CUST00257,Male,24,23,1124.22,Wallet,VR Mall,29-08-2023,Morning,,,
CUST00258,Female,54,43,1510.37,Credit Card,Elante Mall,17-11-2023,Night,,,
CUST00259,Female,25,38,792.92,Credit Card,Phoenix Marketcity,01-01-2023,Afternoon,,,
CUST00260,Female,39,29,2306.38,Debit Card,VR Mall,15-06-2023,Morning,,,
CUST00261,Female,63,23,1788.46,Debit Card,Lulu Mall,19-01-2023,Evening,,,
CUST00262,Male,42,15,2925.03,UPI,Select Citywalk,02-07-2023,Afternoon,,,
CUST00263,Male,59,7,2286.48,Wallet,Orion Mall,27-12-2023,Afternoon,,,
CUST00264,Female,50,44,2788.46,Wallet,Select Citywalk,07-11-2023,Evening,,,
CUST00265,Male,48,26,874.36,Credit Card,Ambience Mall,19-07-2023,Evening,,,
CUST00266,Male,43,4,1258.28,Cash,Select Citywalk,20-12-2023,Night,,,
CUST00267,Female,45,47,4631.42,Debit Card,Lulu Mall,24-03-2023,Morning,,,
CUST00268,Female,46,44,1526.74,Credit Card,City Centre Mall,03-03-2023,Night,,,
CUST00269,Male,61,23,153.38,Wallet,City Centre Mall,07-04-2023,Night,,,
CUST00270,Female,39,4,227.46,Debit Card,Lulu Mall,22-03-2023,Afternoon,,,
CUST00271,Female,57,10,3259.9,Cash,Orion Mall,20-11-2023,Afternoon,,,
CUST00272,Male,42,14,3302.62,Wallet,Inorbit Mall,08-08-2023,Morning,,,
CUST00273,Female,20,9,308.51,UPI,DLF Mall of India,15-03-2023,Night,,,
CUST00274,Female,43,6,4398.12,Debit Card,VR Mall,15-07-2023,Night,,,
CUST00275,Male,47,30,1903.44,Cash,Select Citywalk,01-10-2023,Afternoon,,,
CUST00276,Female,51,19,1886.3,UPI,Ambience Mall,07-04-2023,Morning,,,
CUST00277,Male,52,31,1473.65,Cash,City Centre Mall,07-10-2023,Evening,,,
CUST00278,Female,63,49,4624.41,UPI,VR Mall,09-08-2023,Evening,,,
CUST00279,Male,55,7,401.44,Cash,DLF Mall of India,05-03-2023,Night,,,
CUST00280,Male,51,19,3788.6,UPI,Select Citywalk,10-04-2023,Afternoon,,,
CUST00281,Female,64,33,2587.65,Wallet,City Centre Mall,10-08-2023,Morning,,,
CUST00282,Male,64,13,2765.93,Credit Card,Ambience Mall,18-01-2023,Afternoon,,,
CUST00283,Male,62,26,4568.84,Wallet,City Centre Mall,02-06-2023,Afternoon,,,
CUST00284,Female,40,48,4567.36,Credit Card,VR Mall,02-03-2023,Afternoon,,,
CUST00285,Female,33,39,1698.33,Wallet,DLF Mall of India,03-05-2023,Night,,,
CUST00286,Male,32,30,2478.02,Debit Card,Ambience Mall,12-09-2023,Morning,,,
CUST00287,Female,39,16,3599.18,Wallet,DLF Mall of India,18-08-2023,Afternoon,,,
CUST00288,Male,39,14,4939.52,UPI,Lulu Mall,05-12-2023,Evening,,,
CUST00289,Female,34,18,3735.47,Credit Card,City Centre Mall,13-03-2023,Morning,,,
CUST00290,Male,59,3,4910.33,Debit Card,Ambience Mall,07-08-2023,Morning,,,
CUST00291,Male,39,40,644.84,UPI,DLF Mall of India,04-05-2023,Night,,,
CUST00292,Female,65,44,4594.38,UPI,DLF Mall of India,18-07-2023,Evening,,,
CUST00293,Female,62,32,3316.42,Wallet,Select Citywalk,13-09-2023,Night,,,
CUST00294,Male,38,42,177.54,UPI,VR Mall,19-08-2023,Evening,,,
CUST00295,Female,57,46,2779.33,Debit Card,Inorbit Mall,05-12-2023,Evening,,,
CUST00296,Female,53,20,531.8,Cash,City Centre Mall,16-05-2023,Afternoon,,,
CUST00297,Female,33,29,4246.34,UPI,Phoenix Marketcity,04-11-2023,Morning,,,
CUST00298,Female,63,3,1778.14,UPI,Select Citywalk,06-05-2023,Evening,,,
CUST00299,Male,63,46,831.66,Credit Card,Select Citywalk,30-08-2023,Night,,,
CUST00300,Female,59,12,1077.56,Cash,Select Citywalk,19-05-2023,Night,,,
CUST00301,Female,34,25,1989.62,Cash,DLF Mall of India,02-12-2023,Evening,,,
CUST00302,Female,60,25,1976.25,Debit Card,VR Mall,25-01-2023,Evening,,,
CUST00303,Female,36,33,573.04,UPI,Phoenix Marketcity,21-01-2023,Evening,,,
CUST00304,Male,28,29,4777.86,Credit Card,Ambience Mall,10-02-2023,Evening,,,
CUST00305,Male,42,12,2526.04,Credit Card,City Centre Mall,17-06-2023,Night,,,
CUST00306,Female,27,46,1705.83,Wallet,Lulu Mall,28-10-2023,Morning,,,
CUST00307,Male,55,33,268.91,UPI,Elante Mall,17-01-2023,Evening,,,
CUST00308,Male,61,25,489.61,Credit Card,Phoenix Marketcity,04-01-2023,Evening,,,
CUST00309,Male,39,45,4820.12,Credit Card,Inorbit Mall,31-01-2023,Night,,,
