customer_id,gender,age,total_orders,total_amount,payment_method,area,last_invoice_date,shopping_time,payment_status,cashier
CUST#144,Male,34,6,3133,Wallet,Dum Dum,2023-10-16,Afternoon,yes,D36144
CUST#145,Male,23,27,2316,Debit Card,Shyambazar,2023-06-11,Morning,yes,S36545
CUST#146,Female,28,28,895,Credit Card,Alipore,2023-10-05,Morning,yes,A37646
CUST#147,Female,40,9,2883,Credit Card,Park Street,2023-01-03,Night,yes,P20047
CUST#148,Female,40,8,3475,Wallet,Park Street,2023-06-14,Evening,yes,P13148
CUST#149,Male,55,19,786,Wallet,Shyambazar,2023-04-29,Morning,yes,S52849
CUST#150,Female,36,19,1044,Debit Card,Ballygunge,2023-08-23,Afternoon,yes,B60250
CUST#151,Male,26,19,2799,Cash,Behala,2023-12-20,Night,yes,B66751
CUST#152,Male,31,22,2769,Cash,Ballygunge,2023-02-24,Evening,yes,B46752
CUST#153,Male,31,15,4047,UPI,Behala,2023-05-19,Morning,yes,B62853
CUST#154,Male,25,13,1149,Debit Card,Tollygunge,2023-05-30,Night,yes,T62754
CUST#155,Female,58,28,3885,Credit Card,Tollygunge,2023-12-15,Night,yes,T34655
CUST#156,Female,42,14,1319,Debit Card,Park Street,2023-03-14,Morning,yes,P58256
CUST#157,Female,49,7,848,UPI,Dum Dum,2023-04-27,Night,yes,D19157
CUST#158,Female,44,18,1824,Debit Card,Salt Lake,2023-11-23,Morning,yes,S106658
CUST#159,Female,18,16,1750,UPI,Ballygunge,2023-09-03,Afternoon,yes,B37859
CUST#160,Female,65,28,796,Cash,Behala,2023-07-16,Evening,yes,B65260
CUST#161,Male,27,29,4386,UPI,Tollygunge,2023-06-21,Evening,yes,T99061
CUST#162,Male,35,19,3709,Cash,Ballygunge,2023-02-04,Evening,yes,B89762
CUST#163,Female,42,6,2849,Credit Card,Tollygunge,2023-07-12,Morning,yes,T82863
CUST#164,Male,41,22,2436,Wallet,Jadavpur,2023-04-05,Morning,yes,J99864
CUST#165,Female,29,7,2023,Cash,Gariahat,2023-04-10,Evening,yes,G58165
CUST#166,Female,59,28,2632,Credit Card,Tollygunge,2023-06-09,Morning,yes,T58766
CUST#167,Male,46,6,1253,Debit Card,Salt Lake,2023-12-11,Evening,yes,S78767
CUST#168,Male,54,17,2363,Debit Card,Ballygunge,2023-08-01,Evening,yes,B101868
CUST#169,Female,62,18,3813,Credit Card,Dum Dum,2023-02-04,Night,yes,D108669
CUST#170,Female,47,17,4458,Wallet,Salt Lake,2023-07-03,Morning,yes,S58570
CUST#171,Female,29,7,1000,UPI,Shyambazar,2023-10-10,Morning,yes,S106271
CUST#172,Male,43,12,2902,Debit Card,Behala,2023-09-18,Afternoon,yes,B13872
CUST#173,Male,23,9,1439,Cash,Park Street,2023-12-08,Night,yes,P70373
CUST#174,Female,63,13,3041,Debit Card,Tollygunge,2023-06-23,Evening,yes,T86174
CUST#175,Male,21,27,3238,Debit Card,Dum Dum,2023-04-03,Morning,yes,D96175
CUST#176,Male,25,27,2457,Debit Card,Gariahat,2023-07-04,Evening,yes,G96376
CUST#177,Male,37,14,4421,UPI,Ballygunge,2023-05-02,Afternoon,yes,B100677
CUST#178,Female,39,6,1962,Credit Card,Gariahat,2023-08-19,Afternoon,yes,G46078
CUST#179,Female,28,24,2378,Wallet,Tollygunge,2023-11-06,Evening,yes,T85879
CUST#180,Female,56,27,983,Cash,Dum Dum,2023-01-10,Morning,yes,D43880
CUST#181,Female,37,14,956,Cash,Alipore,2023-06-12,Night,yes,A117181
CUST#182,Male,46,24,4335,Wallet,Gariahat,2023-07-17,Evening,yes,G49082
CUST#183,Female,47,10,2042,Debit Card,Shyambazar,2023-12-01,Morning,yes,S53583
CUST#184,Male,35,14,2072,Credit Card,Dum Dum,2023-09-15,Morning,yes,D24084
CUST#185,Female,43,12,2092,Cash,Ballygunge,2023-04-14,Morning,yes,B67785
CUST#186,Male,48,8,1735,Cash,Gariahat,2023-12-14,Morning,yes,G23386
CUST#187,Male,50,23,4410,Credit Card,Park Street,2023-06-23,Evening,yes,P34287
CUST#188,Male,42,27,2076,UPI,Tollygunge,2023-05-26,Evening,yes,T45188
CUST#189,Male,53,6,2936,Debit Card,Salt Lake,2023-01-03,Evening,yes,S67089
CUST#190,Male,50,25,2303,UPI,Shyambazar,2023-11-17,Night,yes,S81090
CUST#191,Female,48,10,2871,UPI,Tollygunge,2023-05-27,Evening,yes,T34691
CUST#192,Female,18,17,4573,Debit Card,Tollygunge,2023-03-04,Evening,yes,T73092
CUST#193,Female,31,14,4243,Wallet,Gariahat,2023-06-08,Morning,yes,G105293
CUST#194,Male,19,16,3134,Debit Card,Gariahat,2023-12-03,Morning,yes,G19994
CUST#195,Female,44,14,2717,Credit Card,Gariahat,2023-02-27,Night,yes,G105795
CUST#196,Female,53,10,4475,UPI,Salt Lake,2023-07-31,Night,yes,S48796
CUST#197,Female,45,29,3207,Debit Card,Behala,2023-12-13,Evening,yes,B53097
CUST#198,Female,28,25,1791,Credit Card,Dum Dum,2023-04-25,Afternoon,yes,D78898
CUST#199,Female,36,22,4171,Cash,Salt Lake,2023-10-28,Night,yes,S79099
CUST#200,Male,42,21,3329,Credit Card,Jadavpur,2023-02-04,Morning,yes,J159100
CUST#201,Female,65,28,1293,Wallet,Tollygunge,2023-11-01,Afternoon,yes,T677101
CUST#202,Female,36,17,3240,Cash,Salt Lake,2023-08-28,Evening,yes,S1016102
CUST#203,Female,36,23,1897,Credit Card,Jadavpur,2023-07-28,Night,yes,J834103
CUST#204,Male,47,18,4351,Wallet,Behala,2023-06-09,Evening,yes,B836104
CUST#205,Female,50,7,2017,Credit Card,Tollygunge,2023-10-26,Night,yes,T224105
CUST#206,Female,63,19,3363,Wallet,Tollygunge,2023-08-04,Evening,yes,T241106
CUST#207,Male,33,17,1396,UPI,Behala,2023-07-02,Evening,yes,B419107
CUST#208,Female,57,18,3341,Cash,Dum Dum,2023-12-10,Evening,yes,D920108
CUST#209,Female,60,13,1407,Wallet,Alipore,2023-07-11,Evening,yes,A1164109
CUST#210,Female,18,27,3081,Debit Card,Tollygunge,2023-05-22,Morning,yes,T264110
CUST#211,Male,19,6,1938,Cash,Salt Lake,2023-03-14,Evening,yes,S366111
CUST#212,Female,50,22,1743,Credit Card,Shyambazar,2023-10-16,Night,yes,S585112
CUST#213,Male,40,7,929,Debit Card,Tollygunge,2023-04-09,Afternoon,yes,T706113
CUST#214,Female,38,21,1677,Debit Card,Dum Dum,2023-07-25,Morning,yes,D394114
CUST#215,Male,36,24,1515,Wallet,Salt Lake,2023-12-10,Afternoon,yes,S854115
CUST#216,Female,30,16,1517,Credit Card,Jadavpur,2023-01-07,Morning,yes,J691116
CUST#217,Male,42,26,985,UPI,Tollygunge,2023-08-29,Evening,yes,T421117
CUST#218,Female,65,9,2541,Debit Card,Alipore,2023-02-11,Morning,yes,A1123118
CUST#219,Female,30,10,3832,UPI,Jadavpur,2023-10-28,Morning,yes,J407119
CUST#220,Male,29,25,1812,UPI,Tollygunge,2023-11-23,Afternoon,yes,T963120
CUST#221,Female,64,22,4532,Debit Card,Behala,2023-06-18,Morning,yes,B1137121
CUST#222,Male,49,12,1590,Wallet,Dum Dum,2023-08-27,Evening,yes,D836122
CUST#223,Male,28,20,3991,Cash,Behala,2023-04-15,Morning,yes,B361123
CUST#224,Female,26,28,977,Credit Card,Behala,2023-02-24,Morning,yes,B548124
CUST#225,Male,57,9,2382,Credit Card,Salt Lake,2023-06-11,Evening,yes,S790125
CUST#226,Female,40,16,1973,Debit Card,Tollygunge,2023-02-08,Afternoon,yes,T733126
CUST#227,Male,53,17,2130,Debit Card,Ballygunge,2023-07-21,Afternoon,yes,B470127
CUST#228,Female,56,15,2715,Debit Card,Jadavpur,2023-06-19,Morning,yes,J1036128
CUST#229,Male,35,7,4529,Cash,Dum Dum,2023-03-01,Afternoon,yes,D1014129
CUST#230,Male,27,24,1379,Credit Card,Gariahat,2023-10-29,Afternoon,yes,G982130
CUST#231,Female,64,15,924,UPI,Park Street,2023-05-23,Night,yes,P157131
CUST#232,Male,61,11,1315,Credit Card,Salt Lake,2023-04-03,Night,yes,S1097132
CUST#233,Female,23,22,3160,Wallet,Salt Lake,2023-08-10,Evening,yes,S588133
CUST#234,Female,25,25,2599,Credit Card,Salt Lake,2023-07-07,Morning,yes,S284134
CUST#235,Male,43,18,2251,Cash,Behala,2023-12-01,Afternoon,yes,B286135
CUST#236,Male,24,20,862,Cash,Behala,2023-09-05,Evening,yes,B1148136
CUST#237,Male,37,6,1545,UPI,Behala,2023-08-15,Morning,yes,B322137
CUST#238,Male,26,25,909,Credit Card,Tollygunge,2023-09-28,Night,yes,T192138
CUST#239,Male,19,14,3941,Cash,Gariahat,2023-07-06,Morning,yes,G890139
CUST#240,Male,41,8,3723,Debit Card,Tollygunge,2023-08-09,Afternoon,yes,T1032140
CUST#241,Male,23,14,1171,Cash,Park Street,2023-05-09,Morning,yes,P1107141
CUST#242,Female,24,7,2606,Debit Card,Dum Dum,2023-04-11,Morning,yes,D609142
CUST#243,Female,45,17,1481,UPI,Park Street,2023-09-17,Evening,yes,P182143
CUST#244,Male,29,16,2985,Credit Card,Gariahat,2023-03-01,Evening,yes,G280144
CUST#245,Female,24,9,1912,Wallet,Salt Lake,2023-04-13,Afternoon,yes,S461145
CUST#246,Male,18,21,1438,Wallet,Park Street,2023-02-26,Night,yes,P832146
CUST#247,Male,20,7,2675,Debit Card,Jadavpur,2023-02-05,Morning,yes,J813147
CUST#248,Male,64,16,1696,Credit Card,Ballygunge,2023-10-18,Night,yes,B835148
CUST#249,Male,25,13,3108,Cash,Jadavpur,2023-08-16,Evening,yes,J308149
CUST#250,Female,32,12,2145,Wallet,Jadavpur,2023-07-20,Morning,yes,J748150
CUST#251,Female,28,27,4110,UPI,Dum Dum,2023-03-16,Morning,yes,D1095151
CUST#252,Male,51,26,891,UPI,Tollygunge,2023-03-08,Morning,yes,T1099152
CUST#253,Male,65,25,4433,Cash,Park Street,2023-08-29,Evening,yes,P216153
CUST#254,Male,51,26,3033,Credit Card,Park Street,2023-07-25,Evening,yes,P255154
CUST#255,Male,29,13,2581,Credit Card,Jadavpur,2023-12-18,Night,yes,J908155
CUST#256,Female,53,24,1995,Cash,Gariahat,2023-08-09,Evening,yes,G395156
CUST#257,Male,50,12,2122,Cash,Gariahat,2023-03-22,Afternoon,yes,G338157
CUST#258,Male,49,29,4529,Wallet,Dum Dum,2023-03-26,Night,yes,D920158
CUST#259,Male,23,17,3900,Debit Card,Ballygunge,2023-06-13,Afternoon,yes,B913159
CUST#260,Female,37,7,3948,Credit Card,Alipore,2023-11-04,Night,yes,A687160
CUST#261,Male,59,28,796,Credit Card,Park Street,2023-02-21,Afternoon,yes,P952161
CUST#262,Female,31,12,2771,Wallet,Gariahat,2023-07-14,Morning,yes,G530162
CUST#263,Male,31,19,2776,Wallet,Shyambazar,2023-05-02,Evening,yes,S672163
CUST#264,Female,41,12,2419,Debit Card,Salt Lake,2023-10-06,Morning,yes,S340164
CUST#265,Female,61,19,2385,Cash,Salt Lake,2023-01-12,Afternoon,yes,S658165
CUST#266,Male,64,14,1882,Cash,Behala,2023-04-09,Evening,yes,B634166
CUST#267,Male,62,8,2391,UPI,Ballygunge,2023-01-10,Evening,yes,B430167
CUST#268,Male,59,28,2599,Debit Card,Dum Dum,2023-10-11,Night,yes,D898168
CUST#269,Female,53,22,2721,Credit Card,Alipore,2023-08-21,Afternoon,yes,A592169
CUST#270,Male,36,10,1632,Debit Card,Salt Lake,2023-04-16,Night,yes,S616170
CUST#271,Male,60,13,2122,UPI,Ballygunge,2023-01-11,Afternoon,yes,B181171
CUST#272,Male,25,6,3703,Debit Card,Park Street,2023-06-30,Afternoon,yes,P771172
CUST#273,Male,48,23,4339,UPI,Gariahat,2023-04-13,Afternoon,yes,G1190173
CUST#274,Female,47,6,3588,Cash,Dum Dum,2023-04-12,Night,yes,D456174
CUST#275,Female,51,20,2011,UPI,Shyambazar,2023-01-09,Evening,yes,S854175
CUST#276,Female,57,6,2119,Cash,Salt Lake,2023-05-05,Night,yes,S516176
CUST#277,Male,27,12,2387,Credit Card,Behala,2023-08-23,Night,yes,B923177
CUST#278,Female,56,26,2111,Wallet,Tollygunge,2023-05-09,Evening,yes,T364178
CUST#279,Male,57,17,3683,Cash,Dum Dum,2023-08-30,Afternoon,yes,D318179
CUST#280,Female,55,19,3219,Credit Card,Salt Lake,2023-07-07,Night,yes,S112180
CUST#281,Male,58,12,3563,Debit Card,Tollygunge,2023-02-07,Morning,yes,T895181
CUST#282,Male,42,24,1690,Debit Card,Tollygunge,2023-10-29,Morning,yes,T917182
CUST#283,Male,61,26,2182,Credit Card,Dum Dum,2023-08-24,Morning,yes,D162183
CUST#284,Male,53,8,1827,Wallet,Behala,2023-02-28,Morning,yes,B432184
CUST#285,Female,49,20,4013,UPI,Salt Lake,2023-11-20,Afternoon,yes,S694185
CUST#286,Female,29,12,2561,Debit Card,Gariahat,2023-01-20,Night,yes,G133186
CUST#287,Male,23,18,4017,Cash,Ballygunge,2023-04-30,Night,yes,B974187
CUST#288,Female,63,7,3627,Debit Card,Tollygunge,2023-07-01,Night,yes,T296188
CUST#289,Male,37,17,3398,Debit Card,Alipore,2023-03-13,Night,yes,A386189
CUST#290,Male,59,15,2642,Debit Card,Gariahat,2023-04-07,Evening,yes,G1052190
CUST#291,Female,59,27,4564,UPI,Behala,2023-08-24,Afternoon,yes,B253191
CUST#292,Female,47,24,3300,Credit Card,Shyambazar,2023-06-09,Afternoon,yes,S941192
CUST#293,Female,43,26,4359,Wallet,Gariahat,2023-04-30,Morning,yes,G678193
CUST#294,Female,39,8,2931,Cash,Dum Dum,2023-01-07,Night,yes,D854194
CUST#295,Male,31,26,793,Cash,Jadavpur,2023-10-02,Afternoon,yes,J559195
CUST#296,Male,48,27,1449,Wallet,Salt Lake,2023-09-30,Morning,yes,S825196
CUST#297,Male,18,17,4024,Debit Card,Behala,2023-09-01,Afternoon,yes,B1067197
CUST#298,Female,57,27,2290,Credit Card,Alipore,2023-10-06,Evening,yes,A429198
CUST#299,Female,41,25,3819,Cash,Gariahat,2023-05-18,Afternoon,yes,G1087199
CUST#300,Male,25,17,1505,Cash,Tollygunge,2023-11-29,Night,yes,T1070200
CUST#301,Male,56,25,4331,Credit Card,Tollygunge,2023-10-17,Evening,yes,T266201
CUST#302,Female,27,29,2932,UPI,Park Street,2023-05-29,Afternoon,yes,P875202
CUST#303,Male,18,13,3268,Credit Card,Gariahat,2023-10-26,Morning,yes,G446203
CUST#304,Male,43,26,2129,Cash,Tollygunge,2023-01-05,Evening,yes,T480204
CUST#305,Female,29,22,756,Debit Card,Gariahat,2023-01-06,Morning,yes,G131205
CUST#306,Male,45,13,819,Cash,Dum Dum,2023-08-05,Evening,yes,D1160206
CUST#307,Male,47,22,2658,UPI,Gariahat,2023-02-20,Evening,yes,G857207
CUST#308,Male,27,20,2084,UPI,Salt Lake,2023-02-11,Morning,yes,S342208
CUST#309,Female,48,7,4325,Wallet,Jadavpur,2023-03-10,Afternoon,yes,J319209
CUST#310,Female,43,23,1557,UPI,Salt Lake,2023-11-24,Morning,yes,S426210
CUST#311,Female,38,11,4238,Debit Card,Dum Dum,2023-05-07,Night,yes,D778211
CUST#312,Male,57,22,1618,Wallet,Behala,2023-02-09,Morning,yes,B648212
CUST#313,Female,52,7,2264,UPI,Dum Dum,2023-12-19,Morning,yes,D646213
CUST#314,Male,33,22,1770,Cash,Ballygunge,2023-10-04,Night,yes,B121214
CUST#315,Male,45,26,2595,Wallet,Ballygunge,2023-05-17,Afternoon,yes,B754215
CUST#316,Female,56,24,1430,Debit Card,Salt Lake,2023-09-15,Morning,yes,S328216
CUST#317,Male,30,27,2159,Credit Card,Salt Lake,2023-08-02,Night,yes,S1085217
CUST#318,Male,38,11,3934,Cash,Tollygunge,2023-07-25,Morning,yes,T753218
CUST#319,Female,35,14,3613,Wallet,Salt Lake,2023-10-27,Night,yes,S538219
CUST#320,Male,43,23,2155,Credit Card,Dum Dum,2023-10-05,Evening,yes,D159220
CUST#321,Male,18,28,3571,Wallet,Park Street,2023-01-23,Evening,yes,P592221
CUST#322,Female,31,13,1617,Cash,Park Street,2023-01-14,Afternoon,yes,P1134222
CUST#323,Male,57,15,3421,UPI,Salt Lake,2023-01-11,Night,yes,S1172223
CUST#324,Male,40,6,1577,Wallet,Jadavpur,2023-09-30,Afternoon,yes,J387224
CUST#325,Female,53,28,1885,Debit Card,Salt Lake,2023-07-23,Morning,yes,S664225
CUST#326,Female,48,10,4127,Wallet,Tollygunge,2023-11-20,Evening,yes,T589226
CUST#327,Male,58,9,1880,UPI,Alipore,2023-07-02,Afternoon,yes,A859227
CUST#328,Male,37,24,4188,Wallet,Salt Lake,2023-04-19,Afternoon,yes,S135228
CUST#329,Female,64,25,3235,Wallet,Salt Lake,2023-02-05,Evening,yes,S266229
CUST#330,Male,51,9,4233,Credit Card,Behala,2023-11-05,Afternoon,yes,B798230
CUST#331,Female,46,7,3128,Debit Card,Dum Dum,2023-02-27,Evening,yes,D474231
CUST#332,Female,30,6,2328,UPI,Tollygunge,2023-06-04,Morning,yes,T781232
CUST#333,Female,51,14,4337,Credit Card,Tollygunge,2023-05-23,Evening,yes,T829233
CUST#334,Male,53,26,1699,UPI,Salt Lake,2023-12-01,Night,yes,S468234
CUST#335,Female,25,21,1785,Debit Card,Gariahat,2023-06-19,Evening,yes,G997235
CUST#336,Female,60,6,1819,UPI,Alipore,2023-07-16,Night,yes,A556236
CUST#337,Female,48,23,1502,UPI,Tollygunge,2023-10-18,Morning,yes,T112237
CUST#338,Male,35,14,3393,Debit Card,Park Street,2023-08-09,Afternoon,yes,P1178238
CUST#339,Male,40,11,2507,Wallet,Salt Lake,2023-05-07,Evening,yes,S1165239
CUST#340,Male,50,6,2290,Cash,Shyambazar,2023-01-05,Afternoon,yes,S458240
CUST#341,Female,61,27,1163,Credit Card,Dum Dum,2023-05-26,Afternoon,yes,D1116241
CUST#342,Female,29,24,3368,Credit Card,Tollygunge,2023-04-01,Evening,yes,T618242
CUST#343,Male,42,6,3697,Debit Card,Salt Lake,2023-12-20,Afternoon,yes,S708243
CUST#344,Female,61,19,2415,Debit Card,Behala,2023-09-22,Night,yes,B1057244
CUST#345,Female,43,23,1636,Debit Card,Shyambazar,2023-04-01,Afternoon,yes,S558245
CUST#346,Female,41,12,4114,Cash,Tollygunge,2023-03-17,Afternoon,yes,T308246
CUST#347,Male,47,27,4224,Credit Card,Alipore,2023-12-12,Night,yes,A220247
CUST#348,Female,64,27,3102,UPI,Salt Lake,2023-02-22,Afternoon,yes,S1056248
CUST#349,Male,57,8,2687,Credit Card,Park Street,2023-04-23,Afternoon,yes,P558249
CUST#350,Female,28,15,4225,Wallet,Tollygunge,2023-07-08,Afternoon,yes,T245250
CUST#351,Female,40,9,4174,Credit Card,Behala,2023-10-01,Night,yes,B1153251
CUST#352,Female,31,10,3680,Cash,Park Street,2023-05-03,Morning,yes,P194252
CUST#353,Male,43,15,3043,Cash,Behala,2023-07-30,Afternoon,yes,B456253
CUST#354,Female,49,18,1020,UPI,Salt Lake,2023-01-05,Afternoon,yes,S1184254
CUST#355,Male,61,19,1003,Credit Card,Gariahat,2023-03-02,Afternoon,yes,G601255
CUST#356,Male,53,15,4369,Cash,Gariahat,2023-05-19,Night,yes,G613256
CUST#357,Male,24,23,4250,Debit Card,Park Street,2023-08-19,Morning,yes,P517257
CUST#358,Female,54,12,1586,Cash,Behala,2023-11-07,Night,yes,B828258
CUST#359,Female,25,6,4330,Debit Card,Behala,2023-01-01,Afternoon,yes,B1167259
CUST#360,Female,39,10,4538,UPI,Salt Lake,2023-06-05,Morning,yes,S800260
CUST#361,Female,63,17,2650,Credit Card,Salt Lake,2023-01-09,Evening,yes,S833261
CUST#362,Male,42,18,1820,Wallet,Tollygunge,2023-06-22,Afternoon,yes,T547262
CUST#363,Male,59,9,2233,Wallet,Salt Lake,2023-12-17,Afternoon,yes,S530263
CUST#364,Female,50,23,845,Debit Card,Gariahat,2023-10-28,Evening,yes,G1073264
CUST#365,Male,48,23,3940,Credit Card,Shyambazar,2023-07-09,Evening,yes,S162265
CUST#366,Male,43,6,3318,Cash,Dum Dum,2023-12-10,Night,yes,D1064266
CUST#367,Female,45,25,1028,Wallet,Gariahat,2023-03-14,Morning,yes,G112267
CUST#368,Female,46,13,4226,UPI,Alipore,2023-02-21,Night,yes,A922268
CUST#369,Male,61,16,2746,UPI,Behala,2023-03-28,Night,yes,B147269
CUST#370,Female,39,13,4475,Cash,Salt Lake,2023-03-12,Afternoon,yes,S868270
CUST#371,Female,57,10,3395,Credit Card,Salt Lake,2023-11-10,Afternoon,yes,S276271
CUST#372,Male,42,29,2041,Credit Card,Tollygunge,2023-07-29,Morning,yes,T522272
CUST#373,Female,20,23,1293,Cash,Dum Dum,2023-03-05,Night,yes,D421273
CUST#374,Female,43,22,1152,Cash,Jadavpur,2023-07-05,Night,yes,J812274
CUST#375,Male,47,6,3980,Wallet,Salt Lake,2023-09-21,Afternoon,yes,S333275
CUST#376,Female,51,19,2577,Debit Card,Behala,2023-03-28,Morning,yes,B339276
CUST#377,Male,52,26,1422,Credit Card,Salt Lake,2023-09-27,Evening,yes,S318277
CUST#378,Female,63,21,2711,Credit Card,Jadavpur,2023-07-30,Evening,yes,J843278
CUST#379,Male,55,11,3302,Wallet,Park Street,2023-02-23,Night,yes,P1030279
CUST#380,Male,51,21,3231,Wallet,Alipore,2023-03-31,Afternoon,yes,A267280
CUST#381,Female,64,23,3512,Debit Card,Alipore,2023-07-31,Morning,yes,A864281
CUST#382,Male,64,26,3302,Cash,Dum Dum,2023-01-08,Afternoon,yes,D1125282
CUST#383,Male,62,16,3791,Cash,Behala,2023-05-23,Afternoon,yes,B250283
CUST#384,Female,40,9,3910,UPI,Gariahat,2023-02-20,Afternoon,yes,G514284
CUST#385,Female,33,12,4150,Debit Card,Shyambazar,2023-04-23,Night,yes,S464285
CUST#386,Male,32,29,3331,Credit Card,Tollygunge,2023-09-02,Morning,yes,T712286
CUST#387,Female,39,7,2348,Debit Card,Dum Dum,2023-08-08,Afternoon,yes,D156287
CUST#388,Male,39,8,2911,UPI,Alipore,2023-11-25,Evening,yes,A387288
CUST#389,Female,34,21,1398,Debit Card,Tollygunge,2023-03-03,Morning,yes,T426289
CUST#390,Male,59,15,2809,UPI,Behala,2023-07-28,Morning,yes,B815290
CUST#391,Male,39,7,1222,Cash,Tollygunge,2023-04-24,Night,yes,T1101291
CUST#392,Female,65,8,1023,UPI,Behala,2023-07-08,Evening,yes,B149292
CUST#393,Female,62,23,3828,Cash,Gariahat,2023-09-03,Night,yes,G317293
CUST#394,Male,38,27,1338,Credit Card,Behala,2023-08-09,Evening,yes,B1158294
CUST#395,Female,57,6,4203,Wallet,Jadavpur,2023-11-25,Evening,yes,J503295
CUST#396,Female,53,29,1445,Cash,Gariahat,2023-05-06,Afternoon,yes,G254296
CUST#397,Female,33,12,1063,Credit Card,Shyambazar,2023-10-25,Morning,yes,S1161297
CUST#398,Female,63,23,912,Debit Card,Behala,2023-04-26,Evening,yes,B1181298
CUST#399,Male,63,29,1574,Debit Card,Gariahat,2023-08-20,Night,yes,G387299
CUST#400,Female,59,9,1220,Credit Card,Dum Dum,2023-05-09,Night,yes,D757300
CUST#401,Female,34,12,4315,Wallet,Dum Dum,2023-11-22,Evening,yes,D634301
CUST#402,Female,60,13,1937,UPI,Salt Lake,2023-01-15,Evening,yes,S1015302
CUST#403,Female,36,29,2142,Debit Card,Gariahat,2023-01-11,Evening,yes,G416303
CUST#404,Male,28,28,1079,Cash,Salt Lake,2023-01-31,Evening,yes,S1113304
CUST#405,Male,42,23,2598,Debit Card,Salt Lake,2023-06-07,Night,yes,S300305
